blast_name,year,firing_datetime,holes_count,bench_anon,powder_factor_kg_t,ucs_mpa,rmr,moisture_pct,mean_payload_t,throughput_tph,traceability_confidence,crusher_id,average_power_kw,specific_energy_kwh_t,peak_power_kw,data_status
BLST_2024_0001,2024,2024-01-01 00:00:00.000000000,333,3690,0.552690574632062,141.6739575393975,38.939582227895954,1.8875155259399954,311.56990938902726,2980.6461743882574,HIGH,CR01,3058.487319219408,1.0261155267270616,3502.0080334218924,SYNTHETIC
BLST_2024_0002,2024,2024-01-01 08:11:40.467726847,79,4110,0.36368143376557227,185.7619680100392,35.65090525961139,2.7156894577767994,375.8701993691874,2913.814584360582,MEDIUM,CR01,3035.4278233092055,1.0417367802334996,3370.1867499456794,SYNTHETIC
BLST_2024_0003,2024,2024-01-01 16:23:20.935453695,30,3810,0.3272084449308157,121.33200868772508,41.42996077379842,3.3137922316764508,306.3926758252362,2265.544842716103,HIGH,CR01,2325.73396609712,1.0265671737085804,2617.506191992492,SYNTHETIC
BLST_2024_0004,2024,2024-01-02 00:35:01.403180542,22,3645,0.38460368663630784,157.36928582112196,61.189823116939316,1.0683220443892467,354.30605259883026,3390.4045026678646,HIGH,CR02,2993.3770781548187,0.8828967386632981,3480.752842599171,SYNTHETIC
BLST_2024_0005,2024,2024-01-02 08:46:41.870907390,154,4080,0.42638699082220144,161.90146769404046,49.67362906587946,2.8749276475148755,335.312244852174,2303.858311210265,HIGH,CR01,2619.1586258553457,1.136857511206688,3022.9608590798152,SYNTHETIC
BLST_2024_0006,2024,2024-01-02 16:58:22.338634237,285,3885,0.3159643791978796,142.11871391131064,59.36097038854564,5.235904019565021,365.39713786110707,2450.949617598044,HIGH,CR01,2973.851508023548,1.2133466500784105,3596.338437172431,SYNTHETIC
BLST_2024_0007,2024,2024-01-03 01:10:02.806361085,25,3660,0.3714023392068645,131.46112231027084,58.40361360635121,2.8975246215159727,344.2024876905026,2621.662532986713,HIGH,CR01,2590.613193350737,0.9881566222786871,2845.4916924181666,SYNTHETIC
BLST_2024_0008,2024,2024-01-03 09:21:43.274087932,232,4140,0.48920109373657567,164.72973865793372,70.54721640547265,3.305441164496873,356.07674851275124,2779.035770026165,LOW,CR02,3420.6286497710844,1.2308688814533966,3943.584418531138,SYNTHETIC
BLST_2024_0009,2024,2024-01-03 17:33:23.741814780,113,3705,0.5622678254563739,173.2284125849045,61.27410739883506,1.5142501428676074,348.11610849298336,2270.3313613294167,MEDIUM,CR01,2710.3325475616184,1.1938048311919343,2992.5526470106197,SYNTHETIC
BLST_2024_0010,2024,2024-01-04 01:45:04.209541627,745,4275,0.44719169248959684,154.57176314374806,78.67284447308313,3.391157340595569,336.7939976795602,2826.6948947138007,LOW,CR01,3408.32495222284,1.2057632957121565,3860.271631514801,SYNTHETIC
BLST_2024_0011,2024,2024-01-04 09:56:44.677268475,166,4095,0.5065153378809769,152.0684509979902,40.66483385645539,1.4338251784109775,297.9622336989662,2604.570538749751,HIGH,CR01,2972.2739277427627,1.1411762067958877,3419.279873202181,SYNTHETIC
BLST_2024_0012,2024,2024-01-04 18:08:25.144995322,128,3810,0.5496554884498404,159.77742244641803,67.57887490196066,2.644933140410504,330.1260424578703,2383.2961866801274,HIGH,CR01,2760.4236212947208,1.1582377535458246,3574.7118555267507,SYNTHETIC
BLST_2024_0013,2024,2024-01-05 02:20:05.612722170,213,4260,0.4997922934269379,97.0757314433593,45.073643589563446,3.9925310798581246,352.0451331929483,2229.3554867295225,HIGH,CR01,2367.2187482737722,1.0618399633279194,2957.9273537454505,SYNTHETIC
BLST_2024_0014,2024,2024-01-05 10:31:46.080449017,907,3765,0.38972806369697777,179.49054169762522,51.592823004357726,1.0277440146958208,328.142095178025,2703.909481560051,HIGH,CR02,3351.154071996577,1.2393736161844777,4030.705299867626,SYNTHETIC
BLST_2024_0015,2024,2024-01-05 18:43:26.548175865,130,4170,0.5030693938024733,147.73941453737567,70.53915886911133,3.1611954575657415,346.0799140430997,2420.210606617575,HIGH,CR01,2455.7954990043145,1.0147032214012448,2859.298136464098,SYNTHETIC
BLST_2024_0016,2024,2024-01-06 02:55:07.015902712,27,3615,0.2343991993940621,100.98253845823078,57.55182675454977,3.2645030755886024,331.69750681041,2309.0687036656927,HIGH,CR01,2242.928439794702,0.9713563031857859,2667.978817279501,SYNTHETIC
BLST_2024_0017,2024,2024-01-06 11:06:47.483629560,66,3675,0.38706555156654954,187.63706427761772,56.761284768818854,2.6384284240108493,359.35639565819315,2979.411034651398,MEDIUM,CR02,2986.54926795526,1.0023958538183695,3670.844868779505,SYNTHETIC
BLST_2024_0018,2024,2024-01-06 19:18:27.951356407,92,4140,0.6043492856014554,191.57455635539884,47.54115380707742,1.0302271437551052,355.1331746142452,2879.569260775308,HIGH,CR01,3152.6948072797554,1.0948494450975317,3667.275730996364,SYNTHETIC
BLST_2024_0019,2024,2024-01-07 03:30:08.419083255,83,4185,0.47113864750482676,213.8370381331446,44.38526709701046,2.2422159706941995,357.80909864107764,2334.934203885967,HIGH,CR01,2738.404323527896,1.172797211574718,3311.72496741816,SYNTHETIC
BLST_2024_0020,2024,2024-01-07 11:41:48.886810102,82,3885,0.5055145681944831,159.51643556225264,60.79627576564747,4.127047769099313,350.88434005800366,2576.33328735942,HIGH,CR01,2796.61118998287,1.0855005459519647,3332.4164302480362,SYNTHETIC
BLST_2024_0021,2024,2024-01-07 19:53:29.354536950,122,4245,0.4598001914099383,133.0015433012681,63.48975724862967,4.482154480693158,396.7569023834433,3476.740628998969,LOW,CR02,3095.7809003676316,0.8904261866836399,3587.726848770001,SYNTHETIC
BLST_2024_0022,2024,2024-01-08 04:05:09.822263797,343,3960,0.4167831470160995,168.40198302899012,74.36849304135157,3.086041627288794,404.0797021455877,2905.4477061692464,MEDIUM,CR02,2967.130640305272,1.0212300961414835,3333.3908880558433,SYNTHETIC
BLST_2024_0023,2024,2024-01-08 12:16:50.289990645,40,3675,0.5231492407940934,139.69615369848384,59.65571218353431,3.1237895906740776,333.0651181423196,2943.359129459851,MEDIUM,CR02,2948.554598737414,1.0017651496297417,3538.1238073709187,SYNTHETIC
